"id","apc_list.value","apc_paid.value","authorships.author.display_name","authorships.author.id","authorships.author.orcid","authorships.countries","authorships.institutions.display_name","authorships.institutions.id","authorships.is_corresponding","best_oa_location.license","citation_normalized_percentile.value","cited_by_count","corresponding_institution_ids","display_name","doi","funders.display_name","fwci","ids.pmid","is_retracted","language","open_access.is_oa","open_access.oa_status","primary_location.source.display_name","primary_location.source.id","primary_location.source.issn_l","primary_location.source.type","primary_topic.display_name","publication_date","publication_year","type"
"https://openalex.org/W2289840014",,,"Mohammad Khalil|Martin Ebner","https://openalex.org/A5068056028|https://openalex.org/A5083412977","https://orcid.org/0000-0002-6860-4404|https://orcid.org/0000-0001-5789-5296","AT|AT","Graz University of Technology|Graz University of Technology","https://openalex.org/I4092182|https://openalex.org/I4092182","True|False","","0.98978247","81","https://openalex.org/I4092182","Learning Analytics: Principles and Constraints","https://doi.org/10.13140/rg.2.1.1733.2083","","17.11","","False","en","True","gold","","","","","Online Learning and Analytics","2015-01-01","2015","article"
"https://openalex.org/W3137268104","1800","1800","David John Lemay|Clare Baek|Tenzin Doleck","https://openalex.org/A5062402422|https://openalex.org/A5055711049|https://openalex.org/A5017704287","https://orcid.org/0000-0003-2000-524X|https://orcid.org/0000-0002-8517-8355|https://orcid.org/0000-0002-1279-689X","|US|CA","|University of Southern California|Simon Fraser University","|https://openalex.org/I1174212|https://openalex.org/I18014758","False|True|False","cc-by-nc-nd","0.99562728","105","https://openalex.org/I1174212","Comparison of learning analytics and educational data mining: A topic modeling approach","https://doi.org/10.1016/j.caeai.2021.100016","","20.9347","","False","en","True","gold","Computers and Education Artificial Intelligence","https://openalex.org/S4210183364","2666-920X","journal","Online Learning and Analytics","2021-01-01","2021","article"
"https://openalex.org/W2947349675","1570","1570","Mohammed Saqr|Ahmad Alamro","https://openalex.org/A5051595913|https://openalex.org/A5035450691","https://orcid.org/0000-0001-5881-3109|https://orcid.org/0000-0001-8211-4295","FI|SA","University of Eastern Finland|Qassim University","https://openalex.org/I175532246|https://openalex.org/I156216236","True|False","cc-by","0.99163964","128","https://openalex.org/I175532246","The role of social network analysis as a learning analytics tool in online problem based learning","https://doi.org/10.1186/s12909-019-1599-6","","16.5388","https://pubmed.ncbi.nlm.nih.gov/31113441","False","en","True","gold","BMC Medical Education","https://openalex.org/S144187503","1472-6920","journal","Online Learning and Analytics","2019-05-22","2019","article"
"https://openalex.org/W4389325641",,,"Lixiang Yan|Roberto Martínez‐Maldonado|Dragan Gašević","https://openalex.org/A5041301106|https://openalex.org/A5052017575|https://openalex.org/A5036855560","https://orcid.org/0000-0003-3818-045X|https://orcid.org/0000-0002-8375-1816|https://orcid.org/0000-0001-9265-1908","AU|AU|AU","Monash University|Monash University|Monash University","https://openalex.org/I56590836|https://openalex.org/I56590836|https://openalex.org/I56590836","True|False|False","","0.99538227","68","https://openalex.org/I56590836","Generative Artificial Intelligence in Learning Analytics: Contextualising Opportunities and Challenges through the Learning Analytics Cycle","https://doi.org/10.1145/3636555.3636856","Jacobs Foundation|Universitas Brawijaya","27.0672","","False","en","True","gold","","","","","Online Learning and Analytics","2024-03-05","2024","preprint"
"https://openalex.org/W2406295982",,,"Eva Durall|Begoña Gros Salvat","https://openalex.org/A5063531848|https://openalex.org/A5051575794","https://orcid.org/0000-0003-1778-5804|https://orcid.org/0000-0002-5395-7282","|","","","True|False","cc-by-nc-nd","0.96944514","55","","Learning Analytics as a Metacognitive Tool","https://doi.org/10.5220/0004933203800384","","15.92451208","","False","en","True","gold","","","","","Online Learning and Analytics","2014-01-01","2014","article"
"https://openalex.org/W2997240483","1850","1850","Pedro Manuel Moreno-Marcos|Ting-Chuen Pong|Pedro J. Muñoz‐Merino|Carlos Delgado Kloos","https://openalex.org/A5078035580|https://openalex.org/A5003975427|https://openalex.org/A5002876618|https://openalex.org/A5082851320","https://orcid.org/0000-0003-0835-1414|https://orcid.org/0000-0002-1699-8587|https://orcid.org/0000-0002-2552-4674|https://orcid.org/0000-0003-4093-3705","ES|HK|ES|ES","Universidad Carlos III de Madrid|Hong Kong University of Science and Technology|Universidad Carlos III de Madrid|Universidad Carlos III de Madrid","https://openalex.org/I50357001|https://openalex.org/I200769079|https://openalex.org/I50357001|https://openalex.org/I50357001","True|False|False|False","cc-by","0.98913293","89","https://openalex.org/I50357001","Analysis of the Factors Influencing Learners’ Performance Prediction With Learning Analytics","https://doi.org/10.1109/access.2019.2963503","Comunidad de Madrid|Ministerio de Ciencia, Innovación y Universidades|Research Grants Council, University Grants Committee|Innovation and Technology Fund|Agencia Estatal de Investigación","14.2779","","False","en","True","gold","IEEE Access","https://openalex.org/S2485537415","2169-3536","journal","Online Learning and Analytics","2020-01-01","2020","article"
"https://openalex.org/W3183221193","1600","1600","Athanasios Christopoulos|Stylianos Mystakidis|Νικόλαος Πέλλας|Mikko‐Jussi Laakso","https://openalex.org/A5089985430|https://openalex.org/A5049668151|https://openalex.org/A5005687881|https://openalex.org/A5025172637","https://orcid.org/0000-0002-1809-5525|https://orcid.org/0000-0002-9162-8340|https://orcid.org/0000-0002-3071-6275|https://orcid.org/0000-0001-9163-2676","FI|GR|GR|FI","University of Turku|Hellenic Open University|University of Patras|University of Western Macedonia|University of Turku","https://openalex.org/I155660961|https://openalex.org/I231025917|https://openalex.org/I174878644|https://openalex.org/I89506807|https://openalex.org/I155660961","True|False|False|False","cc-by","0.98844276","69","https://openalex.org/I155660961","ARLEAN: An Augmented Reality Learning Analytics Ethical Framework","https://doi.org/10.3390/computers10080092","","12.6543","","False","en","True","gold","Computers","https://openalex.org/S4210228075","2073-431X","journal","Online Learning and Analytics","2021-07-30","2021","article"
"https://openalex.org/W3093060223","260","260","Yaqun Zhang|Ahmad Ghandour|Viktor Shestak","https://openalex.org/A5030635704|https://openalex.org/A5072415989|https://openalex.org/A5056936201","|https://orcid.org/0000-0003-4445-7443|https://orcid.org/0000-0003-0903-8577","CN|RU|AE|RU","Shenyang Normal University|National Research Tomsk State University|Al Ain University|Moscow State Institute of International Relations","https://openalex.org/I32399674|https://openalex.org/I196355604|https://openalex.org/I161913731|https://openalex.org/I184139950","True|False|False","cc-by","0.9893327","83","https://openalex.org/I196355604|https://openalex.org/I32399674","Using Learning Analytics to Predict Students Performance in Moodle LMS","https://doi.org/10.3991/ijet.v15i20.15915","","14.0005","","True","en","True","gold","International Journal of Emerging Technologies in Learning (iJET)","https://openalex.org/S15272795","1863-0383","journal","Online Learning and Analytics","2020-10-19","2020","article"
"https://openalex.org/W4328053313","1800","1800","Hamza Ouhaichi|Daniel Spikol|Bahtijar Vogel","https://openalex.org/A5091452144|https://openalex.org/A5013468201|https://openalex.org/A5015045646","https://orcid.org/0000-0002-9278-8063|https://orcid.org/0000-0001-9454-0793|https://orcid.org/0000-0001-6708-5983","SE||SE","Malmö University||Malmö University","https://openalex.org/I183111857||https://openalex.org/I183111857","True|False|False","cc-by-nc-nd","0.99081121","60","https://openalex.org/I183111857","Research trends in multimodal learning analytics: A systematic mapping study","https://doi.org/10.1016/j.caeai.2023.100136","","16.0093","","False","en","True","gold","Computers and Education Artificial Intelligence","https://openalex.org/S4210183364","2666-920X","journal","Online Learning and Analytics","2023-01-01","2023","article"
"https://openalex.org/W4399940109",,,"Saqr, Mohammed|López-Pernas, Sonsoles","|","|","|","","","True|False","cc-by","0.98954704","46","","Learning Analytics Methods and Tutorials","https://doi.org/10.1007/978-3-031-54464-4","","19.2084","","False","en","True","gold","","","","","Online Learning and Analytics","2024-01-01","2024","book"
